Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Albania,ALB,27.0693224620319,30.9361224858484
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Algeria,DZA,20.5281416810455,20.407941949491
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Angola,AGO,29.7545979506807,40.7907550532833
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Armenia,ARM,29.7253912120334,41.3508013620849
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Australia,AUS,20.0661262864303,24.1596779983146
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Azerbaijan,AZE,37.7947774917249,49.0506275016423
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Bahamas, The",BHS,35.8315874839494,34.9807938540333
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Benin,BEN,24.7204512110389,29.6305271935478
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bhutan,BTN,31.5360910045004,31.4575032617598
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bolivia,BOL,30.8682960291245,24.9672622840166
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bosnia and Herzegovina,BIH,35.1148756307611,40.0400711149533
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Botswana,BWA,53.0908973428197,37.0878176552067
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burkina Faso,BFA,26.1076455357024,29.2576956572794
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cameroon,CMR,20.9891496295315,19.8500907473186
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Canada,CAN,31.8499609634443,32.3526958202565
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Chad,TCD,27.9084800637597,24.968456965958
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Chile,CHL,29.1910794903324,27.8746677570512
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,20.939064223381,18.055706959796
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Congo, Dem. Rep.",COD,27.7255678009169,25.8676651009614
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Costa Rica,CRI,29.9956578647466,34.3253215592844
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cote d'Ivoire,CIV,27.3532437923476,22.6604887650452
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Dominican Republic,DOM,24.0368347236543,23.325332586795
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ecuador,ECU,22.754485726599,24.0486345985713
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,El Salvador,SLV,29.4861730232304,29.9559096080003
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Finland,FIN,35.7815711349623,40.6183181143561
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,France,FRA,31.6934947262689,32.8895593910847
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,French Polynesia,PYF,19.613765074754,20.5923590296429
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Gambia, The",GMB,15.5708485829147,20.1658912380486
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ghana,GHA,33.8317048233696,37.4495998625311
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greece,GRC,32.1863775524943,39.5602917930958
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greenland,GRL,37.5798451272169,41.0427004962382
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guam,GUM,18.0720813933437,22.2501966955153
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea,GIN,21.4968719824351,35.0420493356329
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea-Bissau,GNB,25.0467119622253,18.3667190776921
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Indonesia,IDN,21.1601792598059,18.5915277970883
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Iran, Islamic Rep.",IRN,18.7208345068656,23.4838672675323
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iraq,IRQ,34.5141464410956,38.0518681988838
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Israel,ISR,30.8618661959764,28.9810422486608
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Italy,ITA,29.144111052532,30.9498739181942
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jamaica,JAM,29.9216654806929,38.0360807474106
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jordan,JOR,36.5444370225267,36.3349404358171
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kazakhstan,KAZ,28.5167080072354,36.4389870990994
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Korea, Rep.",KOR,42.989561527711,39.2758610673609
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kosovo,XKX,22.4513928552736,29.3126074591152
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kyrgyz Republic,KGZ,35.1896004872594,33.4764696600324
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lebanon,LBN,23.1396677268024,20.6977589567577
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Libya,LBY,22.2273741215145,42.35532240076
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Madagascar,MDG,28.3906461296836,28.4244012431975
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mali,MLI,20.2239475938187,21.7272254994959
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Marshall Islands,MHL,44.2421883505716,37.0618720480893
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mauritania,MRT,30.1951447553349,42.3975240406607
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mexico,MEX,34.1627726855471,38.5296507920009
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Micronesia, Fed. Sts.",FSM,27.0650027062475,26.7941370558376
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Moldova,MDA,31.8069217883307,31.1910849579769
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Morocco,MAR,29.9958538899695,34.093057468891
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mozambique,MOZ,32.5722935328402,37.1420563608323
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Namibia,NAM,35.3708484097637,36.4008818615818
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,New Zealand,NZL,27.9337478332662,27.3298341875002
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Norway,NOR,38.5751887349717,36.640925320627
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Palau,PLW,53.1408612146409,37.9030976627784
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Paraguay,PRY,34.734658699956,36.0872909434467
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Peru,PER,21.2873252858958,24.0390874349068
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Philippines,PHL,27.2080572390451,28.3829200126393
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,28.703389442924,28.4334306799759
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Rwanda,RWA,13.2317868359616,21.8254435390056
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Samoa,WSM,27.1409467284846,35.033330142378
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Saudi Arabia,SAU,31.4401316153804,32.159204977113
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Senegal,SEN,22.6771945016724,24.9831341973865
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Solomon Islands,SLB,40.3605204942183,36.4969019192988
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,27.7136384124829,27.2021294051151
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Spain,ESP,33.2986849561039,34.6755629292261
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sri Lanka,LKA,19.8933838202255,21.8235309247363
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Timor-Leste,TLS,3.05030729133392,21.2143178464812
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Togo,TGO,25.9760750558981,23.8124527104537
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tonga,TON,16.9401125903063,22.7656694071931
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tunisia,TUN,38.3998387567342,45.9504933345152
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turkiye,TUR,24.5312773389092,33.0742160572998
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turkmenistan,TKM,35.6754642894197,24.7336007327164
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United Kingdom,GBR,27.845950666101,31.63478028095
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uruguay,URY,22.4778512515741,27.9053695836796
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uzbekistan,UZB,13.7735112287545,25.3501332976894
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Zambia,ZMB,37.1385258014734,34.6361926031881
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Zimbabwe,ZWE,19.160627339066,27.5541700868299
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Africa Eastern and Southern,AFE,24.0726319366809,23.9260802442032
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Early-demographic dividend,EAR,23.4266366989297,24.7149763100036
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,East Asia & Pacific,EAS,29.9187899333021,27.6126844403283
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,East Asia & Pacific (excluding high income),EAP,24.6213592603478,22.0569161027075
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,24.6201870394124,22.055602446993
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Europe & Central Asia (excluding high income),ECA,29.1273502927009,36.7350833031766
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,32.6632118375076,36.5158626268023
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Heavily indebted poor countries (HIPC),HPC,22.0302602840935,22.8242643638227
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,High income,HIC,30.6684907001651,30.949900036253
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,IBRD only,IBD,24.5581080203161,24.1958935416205
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,IDA & IBRD total,IBT,24.0199403545962,23.7934077734655
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,IDA only,IDX,21.4566504906238,21.3949280932787
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Late-demographic dividend,LTE,29.1110114692132,27.7991156761077
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Latin America & Caribbean,LCN,21.8519039571791,24.3164314108237
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Latin America & Caribbean (excluding high income),LAC,20.0331599179563,22.9048984614814
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,20.9621339070164,23.8133170199594
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Least developed countries: UN classification,LDC,20.420742391502,20.3748815895979
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Low & middle income,LMY,23.0428117856226,22.6358966815552
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Low income,LIC,17.9456150514298,20.3624423929885
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lower middle income,LMC,22.6881613333563,24.1114447322667
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Middle East, North Africa, Afghanistan & Pakistan",MEA,35.1635910614178,37.3096635741868
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,19.4237623216413,23.2333546628282
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,19.4503848092044,23.3067083664383
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Middle income,MIC,23.1248798617797,22.6725423550042
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,OECD members,OED,27.1104186138869,27.7960842559018
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Post-demographic dividend,PST,28.3753608493562,28.6138751618785
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Pre-demographic dividend,PRE,19.8146294625424,23.0555087994435
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sub-Saharan Africa,SSF,21.4760550708843,22.8518860394826
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sub-Saharan Africa (excluding high income),SSA,21.8566619202559,23.5527306764014
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,21.4760550708843,22.8518860394826
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Upper middle income,UMC,23.3116597940982,22.4220136133241
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,World,WLD,28.0570668409606,28.0141587147595
